team_name,players
Arsenal,Cech;Debuchy;Elneny;Holding;Nelson;Coquelin;Willock;Maitland-Niles;Walcott;Wilshere;Giroud
Chelsea,Courtois;Azpilicueta;David Luiz;Cahill;Rudiger;Fabregas;Bakayoko;Alonso;Pedro;Morata;Hazard
Tottenham Hotspur,Lloris;Aurier;Alderweireld;Vertonghen;Sanchez;Dier;Sissoko;Winks;Eriksen;Llorente;Kane
Liverpool,Karius;Trent;Lovren;Matip;Moreno;Can;Milner;Wijnaldum;Salah;Coutinho;Firmino
Manchester City,Ederson;Walker;Stones;Otamendi;Delph;Fernandinho;Sane;Silva;De Bruyne;Aguero;Bernardo
Manchester United,de Gea;Valencia;Smalling;Jones;Young;Herrera;Matic;Mata;Lingard;Martial;Lukaku
Everton,Pickford;Holgate;Keane;Williams;Martina;Schneiderlin;Vlasic;Klaasen;Davies;Calvert-Lewin;Mirallas
West Bromwich Albion,Foster;Dawson;Evans;Hegazy;Gibbs;Rodriguez;Krychowiak;Livermore;Barry;Chadli;Rondon
Stoke City,Butland;Zouma;Shawcross;Cameron Johnson;Fletcher;Allen;Pieters;Choupo-Moting;Jese;Diouf
West Ham United,Hart;Zabaleta;Fonte;Reid;Masuaku;Obiang;Kouyate;Antonio;Lanzini;Arnautovic;Hernandez
Southampton,Forster;Cedric;van Dijk;Yoshida;Bertrand;Oriol Romeu;Davis;Lemina;Tadic;Long;Gabbiadini
Burnley,Pope;Lowton;Tarkowski;Mee;Ward;Brady;Defour;Cork;Arfield;Hendrick;Wood
Watford,Gomes;Mariappa;Britos;Kabasele;Femenia;Cleverley;Doucoure;Holebas;Preyra;Deeney;de Andrade
AFC Bournemouth,Begovic;Smith;Francis;Ake;Daniels;Ibe;Cook;Surman;Stanislas;Mousset;Afobe
Swansea City,Fabianski;Naughton;Fernandez;Mawson;Olsson;Britton;Sanches;Carroll;Narsingh;Abraham;Ayew
Brighton and Hove Albion,Ryan;Bruno;Duffy;Dunk;Bong;Knockaert;Stephens;Propper;Izquierdo;Gross;Murray
Leicester City,Schmeichel;Simpson;Morgan;Maguire;Fuchs;Mahrez;Ndidi;Iborra;Albrighton;Vardy;Okazaki
Hull City,McGregor;Aina;Dawson;Hector;Clark;Larsson;Stewart;Bowen;Henriksen;Grosicki;Dicko
Crystal Palace,Speroni;Ward;Dann;Sakho;van Aanholt;Milivojevic;McArthur;Cabaye;Zaha;Townsend;Schlupp
Huddersfield Town,Lossl;Smith;Jorgensen;Schindler;Lowe;Hogg;Williams;Kachunga;Mooy;Ince;Depoitre
